date,cpi,year,month,year_month,inflation_mom,inflation_yoy
2015-01-01,98.57861,2015,1,2015-01,NA,NA
2015-02-01,98.22153,2015,2,2015-02,-0.3622286822668741,NA
2015-03-01,98.38761,2015,3,2015-03,0.16908716449437478,NA
2015-04-01,98.74469,2015,4,2015-04,0.36293187729634635,NA
2015-05-01,99.23463,2015,5,2015-05,0.49616845219726535,NA
2015-06-01,99.7661,2015,6,2015-06,0.5355690851066797,NA
2015-07-01,100.6962,2015,7,2015-07,0.9322806043335463,NA
2015-08-01,101.0865,2015,8,2015-08,0.38760151823007405,NA
2015-09-01,101.0366,2015,9,2015-09,-0.04936366379288959,NA
2015-10-01,100.9536,2015,10,2015-10,-0.08214844917585618,NA
2015-11-01,101.1612,2015,11,2015-11,0.20563902624572972,NA
2015-12-01,102.1328,2015,12,2015-12,0.9604472861136637,NA
2016-01-01,102.6559,2016,1,2016-01,0.5121763037926996,4.13607982502493
2016-02-01,102.5646,2016,2,2016-02,-0.08893789835752175,4.421708763852483
2016-03-01,102.7639,2016,3,2016-03,0.1943165575646999,4.448009256450081
2016-04-01,102.2989,2016,4,2016-04,-0.4524935312887113,3.5993935471365646
2016-05-01,102.5397,2016,5,2016-05,0.23538865031784706,3.330561115610542
2016-06-01,103.2123,2016,6,2016-06,0.655941064777843,3.454279559890594
2016-07-01,103.9265,2016,7,2016-07,0.6919717901839206,3.2079661397351744
2016-08-01,103.9099,2016,8,2016-08,-0.015972826949828267,2.793053474004936
2016-09-01,104.1424,2016,9,2016-09,0.2237515385925759,3.0739355837389404
2016-10-01,104.2919,2016,10,2016-10,0.1435534422099094,3.306766673006223
2016-11-01,104.7818,2016,11,2016-11,0.4697392606712647,3.5790401853675213
2016-12-01,105.2219,2016,12,2016-12,0.4200156897476548,3.024591512227226
2017-01-01,106.2433,2017,1,2017-01,0.9707104699687052,3.4945872570402603
2017-02-01,106.4925,2017,2,2017-02,0.2345559672939368,3.8296839260329563
2017-03-01,106.4759,2017,3,2017-03,-0.015587952203222066,3.612163415362768
2017-04-01,106.5672,2017,4,2017-04,0.08574710333513202,4.172381130197866
2017-05-01,106.9824,2017,5,2017-05,0.38961331441569325,4.332663348927301
2017-06-01,107.7215,2017,6,2017-06,0.6908613005503828,4.368859137912828
2017-07-01,107.954,2017,7,2017-07,0.21583435061709455,3.875334972312161
2017-08-01,107.8793,2017,8,2017-08,-0.06919613909627254,3.820040246405787
2017-09-01,108.0204,2017,9,2017-09,0.1307943229145847,3.723747484213913
2017-10-01,108.0287,2017,10,2017-10,0.007683733813257376,3.583020349614885
2017-11-01,108.2446,2017,11,2017-11,0.1998542979782192,3.3047723936790563
2017-12-01,109.0169,2017,12,2017-12,0.7134766999924214,3.6066636318104806
