"Parameter","Estimate","SE","z_stat","p_value","CI_lower","CI_upper","Significant"
"β₀ (baseline)",-14.8752521377818,NA,NA,NA,NA,NA,NA
"γ (population)",0.126601735906615,NA,NA,NA,NA,NA,NA
"δ (poverty)",1.25196098292891,33.1504802689634,0.037765998343651,0.969874254412823,-63.7229803442394,66.2269023100973,FALSE
"β_2016",-2.14607085240837,NA,NA,NA,NA,NA,NA
"β_2017",-2.79834305411423,NA,NA,NA,NA,NA,NA
"β_2018",-2.6017125018792,NA,NA,NA,NA,NA,NA
"β_2019",-2.80813130235416,NA,NA,NA,NA,NA,NA
"β_2020",-2.56599644991007,NA,NA,NA,NA,NA,NA
"β_2021",-2.49785892093819,NA,NA,NA,NA,NA,NA
"β_2022",-2.7100420660853,NA,NA,NA,NA,NA,NA
"β_2023",-2.64554158965451,14.5112204940596,-0.182310067629219,0.855339398260983,-31.0875337580113,25.7964505787023,FALSE
"β_2024",-2.57309335321288,8.30370777817992,-0.309872820907105,0.756657671948004,-18.8483605984455,13.7021738920198,FALSE
"β₀_trig (baseline triggering)",-10,1.32302932263443,-7.55841146444727,4.08021588949026e-14,-12.5931374723635,-7.40686252763651,TRUE
"β_Riot",1.58246464052148,2.97626105264491,0.531695510753397,0.594936901685914,-4.25100702266255,7.41593630370551,FALSE
"β_Fatalities",1.67775487108104,0.0545658811558788,30.7473248033543,1.32773389469852e-207,1.57080574401552,1.78470399814656,TRUE
"β_Student-led",-1.57140503302847,0.104395912888615,-15.0523616255463,3.33126573823703e-51,-1.77602102229015,-1.36678904376678,TRUE
"β_Labor-led",-4.99844341070994,8.92454006709384e-05,-56007.854445519,0,-4.99861833169526,-4.99826848972463,TRUE
"β_decay",0.00145393328915564,4.65164235437717e-05,31.2563429943727,1.83067828823668e-214,0.00136276109900985,0.00154510547930143,TRUE
