"district","year","poverty_rate","extrapolated"
"Aceh Barat Daya, Kab.",2015,18.25,FALSE
"Aceh Barat Daya, Kab.",2016,18.03,FALSE
"Aceh Barat Daya, Kab.",2017,18.31,FALSE
"Aceh Barat Daya, Kab.",2018,17.1,FALSE
"Aceh Barat Daya, Kab.",2019,16.26,FALSE
"Aceh Barat Daya, Kab.",2020,15.93,FALSE
"Aceh Barat Daya, Kab.",2021,15.345,TRUE
"Aceh Barat Daya, Kab.",2022,14.76,TRUE
"Aceh Barat Daya, Kab.",2023,14.175,TRUE
"Aceh Barat Daya, Kab.",2024,13.59,TRUE
"Aceh Barat, Kab.",2015,21.46,FALSE
"Aceh Barat, Kab.",2016,20.38,FALSE
"Aceh Barat, Kab.",2017,20.28,FALSE
"Aceh Barat, Kab.",2018,19.31,FALSE
"Aceh Barat, Kab.",2019,18.79,FALSE
"Aceh Barat, Kab.",2020,18.34,FALSE
"Aceh Barat, Kab.",2021,17.855,TRUE
"Aceh Barat, Kab.",2022,17.37,TRUE
"Aceh Barat, Kab.",2023,16.885,TRUE
"Aceh Barat, Kab.",2024,16.4,TRUE
"Aceh Besar, Kab.",2015,15.93,FALSE
"Aceh Besar, Kab.",2016,15.55,FALSE
"Aceh Besar, Kab.",2017,15.41,FALSE
"Aceh Besar, Kab.",2018,14.47,FALSE
"Aceh Besar, Kab.",2019,13.92,FALSE
"Aceh Besar, Kab.",2020,13.84,FALSE
"Aceh Besar, Kab.",2021,13.525,TRUE
"Aceh Besar, Kab.",2022,13.21,TRUE
"Aceh Besar, Kab.",2023,12.895,TRUE
"Aceh Besar, Kab.",2024,12.58,TRUE
"Aceh Jaya, Kab.",2015,15.93,FALSE
"Aceh Jaya, Kab.",2016,15.01,FALSE
"Aceh Jaya, Kab.",2017,14.85,FALSE
"Aceh Jaya, Kab.",2018,14.16,FALSE
"Aceh Jaya, Kab.",2019,13.36,FALSE
"Aceh Jaya, Kab.",2020,12.87,FALSE
"Aceh Jaya, Kab.",2021,12.225,TRUE
"Aceh Jaya, Kab.",2022,11.58,TRUE
"Aceh Jaya, Kab.",2023,10.935,TRUE
"Aceh Jaya, Kab.",2024,10.29,TRUE
