"event_id_cnty","NAME_2","TYPE_2","district"
"IDN2300","Sabang","Kota","Sabang, Kota"
"IDN2299","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN2301","Surabaya","Kota","Surabaya, Kota"
"IDN240","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN241","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN2304","Mimika","Kabupaten","Mimika, Kab."
"IDN2306","Mandailing Natal","Kabupaten","Mandailing Natal, Kab."
"IDN244","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN245","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN2307","Kota Cirebon","Kota","Cirebon, Kota"
"IDN2310","Timor Tengah Utara","Kabupaten","Timor Tengah Utara, Kab."
"IDN246","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN249","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN253","Bangkalan","Kabupaten","Bangkalan, Kab."
"IDN252","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN11552","Bangkalan","Kabupaten","Bangkalan, Kab."
"IDN254","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN255","Kota Bandung","Kota","Bandung, Kota"
"IDN2316","Bima","Kabupaten","Bima, Kab."
"IDN2315","Banda Aceh","Kota","Banda Aceh, Kota"
"IDN2317","Sumba Barat","Kabupaten","Sumba Barat, Kab."
"IDN258","Mataram","Kota","Mataram, Kota"
"IDN2318","Banda Aceh","Kota","Banda Aceh, Kota"
"IDN259","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN2319","Kota Jayapura","Kota","Jayapura, Kota"
"IDN260","Kota Yogyakarta","Kota","Yogyakarta, Kota"
"IDN2320","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN2322","Manokwari","Kabupaten","Manokwari, Kab."
"IDN2323","Kota Tasikmalaya","Kota","Tasikmalaya, Kota"
"IDN2325","Kendari","Kota","Kendari, Kota"
"IDN2326","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN2324","Kota Bandung","Kota","Bandung, Kota"
"IDN261","Kota Medan","Kota","Medan, Kota"
"IDN262","Kota Medan","Kota","Medan, Kota"
"IDN263","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN264","Makassar","Kota","Makassar, Kota"
"IDN265","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN266","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN2327","Kota Medan","Kota","Medan, Kota"
"IDN2328","Lampung Timur","Kabupaten","Lampung Timur, Kab."
"IDN2329","Surabaya","Kota","Surabaya, Kota"
"IDN2330","Makassar","Kota","Makassar, Kota"
"IDN2331","Kutai Timur","Kabupaten","Kutai Timur, Kab."
"IDN267","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN2332","Mojokerto","Kabupaten","Mojokerto, Kab."
"IDN2334","Bogor","Kabupaten","Bogor, Kab."
"IDN2333","Batam","Kota","Batam, Kota"
"IDN268","Kota Bogor","Kota","Bogor, Kota"
"IDN2335","Gresik","Kabupaten","Gresik, Kab."
"IDN2337","Mamuju Utara","Kabupaten","Mamuju Utara, Kab."
"IDN2341","Kota Malang","Kota","Malang, Kota"
"IDN2342","Surabaya","Kota","Surabaya, Kota"
"IDN2343","Kota Yogyakarta","Kota","Yogyakarta, Kota"
"IDN2340","Batam","Kota","Batam, Kota"
"IDN2345","Sleman","Kabupaten","Sleman, Kab."
"IDN2346","Kota Bogor","Kota","Bogor, Kota"
"IDN2347","Surabaya","Kota","Surabaya, Kota"
"IDN270","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN271","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN2348","Kota Medan","Kota","Medan, Kota"
"IDN272","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN2351","Pamekasan","Kabupaten","Pamekasan, Kab."
"IDN2350","Mojokerto","Kabupaten","Mojokerto, Kab."
"IDN2349","Kota Malang","Kota","Malang, Kota"
"IDN273","Semarang","Kabupaten","Semarang, Kab."
"IDN275","Banda Aceh","Kota","Banda Aceh, Kota"
"IDN2352","Kota Malang","Kota","Malang, Kota"
"IDN276","Tangerang Selatan","Kota","Tangerang Selatan, Kota"
"IDN2353","Bima","Kabupaten","Bima, Kab."
"IDN2357","Surakarta","Kota","Surakarta, Kota"
"IDN2354","Kota Bandung","Kota","Bandung, Kota"
"IDN2355","Kota Malang","Kota","Malang, Kota"
"IDN2356","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
"IDN277","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN278","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN2359","Badung","Kabupaten","Badung, Kab."
"IDN2361","Gresik","Kabupaten","Gresik, Kab."
"IDN2360","Jakarta Pusat","Kota","Jakarta Pusat, Kota"
"IDN2363","Timor Tengah Utara","Kabupaten","Timor Tengah Utara, Kab."
"IDN280","Jakarta Selatan","Kota","Jakarta Selatan, Kota"
