Provinces Name,Provinces Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
"Badung, Kab.",ID.BA.BD,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Badung, Kab.",ID.BA.BD,Total Population (in number of people),SP.POP.TOTL,602696,616429,630014,643474,656921,670227,683203
"Badung, Kab.",ID.BA.BD,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Badung, Kab.",ID.BA.BD,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Badung, Kab.",ID.BA.BD,Poverty Rate (in % of population),SI.POV.NAPR.ZS,2.54,2.33,2.06,2.06,1.98,1.78,2.02
"Bangli, Kab.",ID.BA.BN,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Bangli, Kab.",ID.BA.BN,Total Population (in number of people),SP.POP.TOTL,221308,222612,223819,225094,226161,227296,228425
"Bangli, Kab.",ID.BA.BN,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Bangli, Kab.",ID.BA.BN,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
"Bangli, Kab.",ID.BA.BN,Poverty Rate (in % of population),SI.POV.NAPR.ZS,5.86,5.73,5.22,5.23,4.89,4.44,4.19
"Buleleng, Kab.",ID.BA.BL,Percentage of Population in Urban Areas (in % of Total Population),SP.URB.TOTL.ZS,..,..,..,..,..,..,..
"Buleleng, Kab.",ID.BA.BL,Total Population (in number of people),SP.POP.TOTL,642296,646214,650076,653604,657180,660568,663995
"Buleleng, Kab.",ID.BA.BL,Total GDP based on expenditure (in IDR Million),NE.GDI.TOTL.CR,..,..,..,..,..,..,..
"Buleleng, Kab.",ID.BA.BL,"Total GDP including Oil and Gas (in IDR Million), Constant Price",NA.GDP.INC.OG.KR,..,..,..,..,..,..,..
